Image_No,Item_description_english,Item_description_german,"food_num","processing_num","taste_num","category_num",protein_100g,fat_100g,carbs_100g,kcal_100g,no_items_image,gramms_total,protein_total,fat_total,carbs_total,Kcal_total,red,green,blue,object size,intensity,sd,complexity,norm. Complexity,medianpower,Recognizability,Familiarity,Valence,Arousal,Complexity,Palatability,Craving,Recognizability_Omnivor_Male,Recognizability_Omnivor_Female,Recognizability_Vegetarian_Male,Recognizability_Vegetarian_Female,Familiarity_Omnivor_Male,Familiarity_Omnivor_Female,Familiarity_Vegetarian_Male,Familiarity_Vegetarian_Female,Valence_Omnivor_Male,Valence_Omnivor_Female,Valence_Vegetarian_Male,Valence_Vegetarian_Female,Arousal_Omnivor_Male,Arousal_Omnivor_Female,Arousal_Vegetarian_Male,Arousal_Vegetarian_Female,Complexity_Omnivor_Male,Complexity_Omnivor_Female,Complexity_Vegetarian_Male,Complexity_Vegetarian_Female,Palatability_Omnivor_Male,Palatability_Omnivor_Female,Palatability_Vegetarian_Male,Palatability_Vegetarian_Female,Craving_Omnivor_Male,Craving_Omnivor_Female,Craving_Vegetarian_Male,Craving_Vegetarian_Female,,,
163,chocolate cake,Schokokuchen,1,2,1,3,5.2,26,48,451,2,100,5.2,26,48,451,0.453349228,0.300718226,0.245932546,0.516351852,74.88344444,58.78614426,0.171574074,0.332281318,17.01337814,91.1,92.0,55.4,40.4,32.1,63.3,39.6,85.7,96.5,100.0,82.8,91.5,93.8,100.0,85.7,53.8,58.5,24.5,58.2,32.2,46.7,16.3,44.3,30.4,31.8,23.5,38.6,57.5,67.3,41.8,68.6,35.2,44.5,15.0,41.0,,,
164,mini cookies with chocolate on one side,Leibnizkeks klein,1,2,1,,7.5,22,66,488,3,5.6,0.42,1.232,3.696,27.328,0.444350215,0.330076199,0.225573586,0.285237037,32.21493704,62.11920929,0.045740741,0.160360454,14.91719913,99.6,96.7,54.2,33.7,26.3,61.5,38.4,100.0,99.1,100.0,100.0,100.0,98.1,100.0,90.0,40.9,58.9,59.0,59.3,28.2,36.2,35.5,35.0,25.3,24.1,6.0,35.4,53.8,66.4,63.5,60.6,28.9,39.9,40.5,45.7,,,
165,cornflakes and almonds covered in chocolate,Chococrossies,1,2,1,3,5.6,27.5,57.3,505,8,40,2.24,11,22.92,202,0.487751293,0.294454405,0.217794302,0.253288889,37.46417037,58.6363678,0.103648148,0.409209218,16.80926704,94.4,95.9,52.4,38.2,33.2,60.8,39.7,94.2,90.4,100.0,100.0,89.6,96.2,100.0,100.0,56.3,54.5,67.5,39.2,42.6,37.0,44.8,33.8,32.6,34.7,32.3,31.3,59.5,63.8,72.0,52.8,43.0,40.6,51.3,30.5,,,
166,chocolate marshmallows,Dickmann,1,2,1,3,3,10.6,67.1,377,2,56,1.68,5.936,37.576,211.12,0.451240753,0.293246303,0.255512944,0.454340741,87.67997778,62.86082077,0.039148148,0.086164732,15.93640614,99.1,94.0,47.5,30.4,26.8,51.9,29.0,100.0,98.0,100.0,100.0,91.7,98.0,100.0,88.9,47.0,53.3,56.0,36.4,31.2,34.4,56.0,19.1,27.5,31.5,65.0,12.7,49.7,61.5,55.0,36.2,31.7,33.3,55.0,14.5,,,
167,some bars of chocolate (stacked),Vollmichschokolade,1,2,1,3,7.5,29.5,58.5,530,1,100,7.5,29.5,58.5,530,0.425774352,0.30516881,0.269056838,0.493055556,80.90758519,54.45578766,0.114981481,0.233201878,15.75538921,100.0,96.8,52.4,41.0,29.4,62.8,36.9,100.0,100.0,100.0,100.0,89.4,100.0,100.0,100.0,45.6,58.3,88.0,40.9,39.2,41.1,88.0,31.5,23.0,30.2,65.0,27.6,52.7,72.7,89.5,50.0,35.4,39.4,88.0,21.4,,,
168,puffed rice covered in chocolate,Schokoladen-Puffreis,1,2,1,3,6.4,29.1,60.5,533,2,34,2.176,9.894,20.57,181.22,0.467931566,0.309013264,0.22305517,0.260933333,29.93334444,59.65472794,0.114925926,0.440441719,15.93736935,96.5,91.1,49.7,33.9,35.1,56.2,35.8,93.1,96.4,100.0,100.0,88.9,97.0,100.0,81.8,50.4,53.7,39.5,44.0,46.1,36.2,22.0,18.5,41.8,34.0,20.5,32.5,65.9,60.5,29.5,43.0,47.9,35.9,21.0,24.9,,,
169,donut (chocolate topping),Schokodonut,1,2,1,3,6.9,27,36.4,420,1,55,3.795,14.85,20.02,231,0.428008465,0.30576847,0.266223065,0.48142963,73.30647037,45.64347458,0.069407407,0.144169372,14.27514744,100.0,100.0,43.8,36.3,25.7,50.7,34.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.8,44.1,23.3,34.8,45.6,37.0,3.0,28.8,26.2,27.3,16.7,24.0,61.3,52.5,17.0,37.8,46.6,32.6,6.3,24.3,,,
170,chocolate bar filled with strawberry and yogurt cream,Yogurette,1,2,1,3,5,35.6,56,566,1.5,18.8,0.94,6.6928,10.528,106.408,0.455275268,0.309171783,0.235552949,0.149525926,23.15638519,49.72881317,0.049037037,0.327950064,15.03080273,90.4,87.7,49.6,35.0,35.0,56.7,36.4,87.9,85.8,100.0,100.0,86.4,80.7,100.0,100.0,56.5,54.0,38.5,35.8,43.4,38.2,38.3,19.3,35.2,35.6,40.0,32.6,65.7,60.5,57.0,39.5,47.0,40.2,30.0,18.7,,,
171,jaffa cookies,Softies,1,2,1,,3,10,69,384,1.5,19.5,0.585,1.95,13.455,74.88,0.478033253,0.264641622,0.257325126,0.204255556,31.99462963,84.51042938,0.058425926,0.286043265,15.53238201,93.4,91.3,43.3,30.9,31.1,47.6,32.7,86.3,95.4,100.0,100.0,88.1,89.5,100.0,100.0,46.5,45.6,23.7,38.7,42.8,28.1,19.7,18.0,31.4,30.6,27.7,33.5,55.3,48.5,15.7,43.0,46.7,30.1,14.7,17.1,,,
172,Toffifay (filled caramel cup),Toffifee,1,2,1,3,5.9,28.6,58.5,514,3,24.9,1.4691,7.1214,14.5665,127.986,0.502904636,0.279131774,0.21796359,0.143811111,21.33247037,63.00854874,0.045111111,0.313683072,14.9947691,86.5,87.4,53.6,37.2,32.0,58.5,38.5,77.3,84.8,100.0,100.0,77.3,86.7,100.0,100.0,50.0,60.3,43.5,45.3,30.9,39.1,47.5,38.9,26.8,36.4,21.5,31.1,52.4,63.4,50.0,57.5,36.1,39.6,43.5,38.0,,,
173,chocolate bar filled with milk cream,Kinderriegel,1,2,1,3,10,34,53,558,1.5,31.5,3.15,10.71,16.695,175.77,0.475497295,0.301420853,0.223081852,0.120348148,19.43983333,56.38002396,0.036296296,0.30159414,14.94838047,94.2,93.2,56.4,40.9,26.6,62.4,45.2,90.9,92.1,100.0,100.0,90.9,90.4,100.0,99.1,53.3,59.3,67.3,49.2,36.2,46.9,51.2,29.3,34.2,25.9,19.9,21.8,62.1,61.3,77.1,58.4,45.5,45.5,67.3,34.4,,,
174,chocolate pieces,Schokoladenstückchen (diverse),1,2,1,3,8,36,46.5,545,1,100,8,36,46.5,545,0.450120677,0.300299007,0.249580317,0.414744444,60.7121963,69.6740036,0.116111111,0.279958207,16.82749176,94.0,97.4,53.1,31.2,31.7,61.6,32.2,87.5,98.9,100.0,90.9,90.6,99.8,100.0,100.0,50.7,57.6,56.1,47.0,35.5,36.7,34.3,16.0,37.1,33.6,22.5,24.9,60.1,63.5,73.6,56.7,36.6,38.7,20.9,19.2,,,
175,brie cheese,Brie,1,2,1,,17,32.5,1,365,1,150,25.5,48.75,1.5,547.5,0.380527017,0.357369316,0.262103667,0.292948148,13.75732963,26.11315536,0.042944444,0.146594012,13.88443184,84.8,91.7,48.9,33.6,28.6,50.7,28.7,86.7,79.9,90.0,87.8,93.3,88.7,100.0,90.0,52.6,48.9,48.7,43.3,37.6,25.6,43.2,36.4,31.3,25.9,34.0,26.4,51.7,45.9,56.7,54.5,32.2,22.5,41.0,28.1,,,
176,salami sausage,Wurst Salami,1,2,2,5,17,32.13,0.22,365,0.5,250,42.5,80.325,0.55,912.5,0.483062896,0.269820571,0.247116533,0.285674074,31.36726296,60.73568726,0.132703704,0.464528341,17.87366867,93.1,90.1,41.8,30.0,30.6,42.6,24.6,88.9,92.1,100.0,99.0,83.9,88.2,100.0,100.0,63.5,44.6,1.0,16.3,50.0,23.0,1.0,25.9,27.6,34.6,1.0,28.9,65.1,47.4,1.0,12.0,49.3,23.0,1.0,3.1,,,
177,cookies filled with chocolate cream,Doppelkeks,1,2,1,3,5.5,16.5,71.8,460,4,100,5.5,16.5,71.8,460,0.523968677,0.3083386,0.167692723,0.232181481,24.64825556,59.41592026,0.093481481,0.40262247,15.60568523,99.2,98.3,52.6,30.7,29.4,54.5,32.9,97.0,100.0,100.0,100.0,95.5,98.9,100.0,100.0,56.5,53.7,22.5,52.5,31.2,30.3,13.2,34.4,27.7,29.0,22.3,33.4,59.4,55.3,18.3,55.0,45.0,28.8,7.2,32.2,,,
178,German krapfen,Krapfen,1,2,1,,6.4,13.9,41.5,333,2,126,8.064,17.514,52.29,419.58,0.412411855,0.334067653,0.253520492,0.255396296,22.10257037,41.72405624,0.082,0.321069652,16.87375641,98.1,97.3,53.7,29.8,27.2,57.7,28.5,100.0,95.1,100.0,100.0,100.0,93.1,100.0,100.0,63.3,60.2,43.4,34.3,32.7,38.6,26.2,11.5,30.1,35.4,10.8,17.3,68.4,65.2,46.8,35.1,32.8,37.2,23.4,9.3,,,
179,marble cake,Marmorkuchen,1,2,1,,5.3,22,48.3,423,0.75,450,23.85,99,217.35,1903.5,0.493100598,0.322882876,0.184016526,0.370233333,57.96612222,45.84303284,0.066407407,0.179366366,15.9097538,100.0,99.9,47.9,33.7,30.6,60.3,33.7,100.0,100.0,100.0,100.0,100.0,99.7,100.0,100.0,52.2,51.5,31.8,42.0,39.3,35.6,35.2,23.0,27.5,30.7,46.7,28.8,59.5,64.1,56.5,56.5,46.2,30.6,25.3,26.2,,,
180,muesli bar (oatmeal),Müsliriegel - oatmeal,1,2,1,,6.9,11.9,64.8,345,1,25,1.725,2.975,16.2,86.25,0.503875444,0.300177778,0.195946778,0.182514815,22.4523,58.93083572,0.087166667,0.477586802,16.36082268,100.0,97.6,51.5,28.3,37.7,50.8,26.7,100.0,100.0,100.0,100.0,92.2,100.0,100.0,100.0,55.7,49.5,61.5,47.2,32.5,25.4,33.0,27.1,42.1,38.6,27.5,31.2,54.8,49.2,54.0,47.4,29.0,25.7,28.5,25.1,,,
181,bowl of muesli (granola),Müsli in der Schüssel,1,2,1,,9,6.04,59.6,343,1,250,22.5,15.1,149,857.5,0.470554997,0.327525189,0.201919814,0.329737037,34.7700963,63.06108475,0.133888889,0.406047468,16.85002708,92.0,97.8,54.9,31.6,49.7,53.3,33.5,93.4,86.1,100.0,100.0,98.7,95.9,100.0,100.0,56.7,50.0,47.8,63.6,39.6,24.7,16.5,38.8,45.8,49.0,37.3,58.0,58.1,47.8,46.0,59.9,42.9,31.9,6.3,31.5,,,
182,bowl of rice,Reisschale,1,,,,7.3,1.3,77,349,300,100,7.3,1.3,77,349,0.354719685,0.323874109,0.321406205,0.228985185,23.52878519,55.84825134,0.079314815,0.346375311,14.69094753,99.4,100.0,59.1,31.4,20.0,59.0,39.0,97.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,60.2,60.6,74.4,51.2,42.5,30.5,39.1,21.1,16.9,21.2,22.0,19.9,52.6,60.6,58.1,62.1,45.4,35.9,30.6,41.3,,,
183,peanuts,Erdnüsse,1,1,3,6,25,50,14,600,50,75,18.75,37.5,10.5,450,0.462724784,0.339535542,0.197739674,0.285225926,21.60414444,34.97364426,0.107185185,0.375790471,15.19452286,96.9,99.9,50.4,28.8,19.3,54.1,25.7,100.0,91.4,100.0,100.0,100.0,99.8,100.0,100.0,46.4,53.6,55.0,50.1,19.9,32.1,47.7,30.5,16.0,19.2,20.7,23.6,49.0,55.9,57.7,57.5,21.9,28.3,33.3,25.0,,,
184,chocolate croissants,Schokocroissants,1,2,1,3,6.8,33.6,50.3,429,2,170,11.56,57.12,85.51,729.3,0.475770532,0.329378385,0.194851083,0.264240741,35.55923333,41.9458847,0.051277778,0.194057047,15.61565304,92.4,92.0,48.9,30.1,28.2,55.7,31.4,87.2,90.6,100.0,100.0,86.2,90.2,100.0,100.0,53.1,51.4,61.0,38.6,29.1,34.2,46.5,22.7,22.2,32.0,27.8,29.6,64.0,58.5,57.0,41.7,37.4,28.2,69.3,23.2,,,
185,sausages (frankfurter),Würstchen,1,2,2,5,15.19,26.37,0.28,296,5,300,45.57,79.11,0.84,888,0.458018317,0.340414768,0.201566915,0.33667037,31.21402222,40.39026642,0.072685185,0.215894215,15.35059547,97.4,97.3,42.3,28.9,24.5,44.9,21.3,100.0,94.8,100.0,100.0,98.5,95.5,100.0,100.0,58.4,39.6,66.5,23.8,50.6,17.0,20.0,33.6,28.4,17.9,66.5,26.6,65.9,40.5,68.5,24.7,37.9,18.8,1.0,11.8,,,
186,pretzel sticks,Salzstangen,1,2,2,,9,0.5,75.3,347,14,28,2.52,0.14,21.084,97.16,0.540081511,0.316314746,0.143603744,0.20102963,24.17671111,68.76940918,0.088851852,0.441983861,16.56660652,100.0,100.0,49.6,27.2,21.6,51.3,25.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.0,49.5,53.3,51.5,23.6,31.7,26.8,22.6,20.1,23.4,4.0,24.3,48.4,54.3,40.0,51.9,23.4,33.0,7.5,16.0,,,
187,croissant,Croissant,1,2,1,,5.2,18.8,35.9,333,1,70,3.64,13.16,25.13,233.1,0.553223259,0.284914662,0.161862078,0.254907407,29.70207778,43.67684937,0.077925926,0.30570287,16.45876503,99.2,100.0,54.5,36.4,25.4,63.2,31.7,97.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,53.9,59.6,64.3,36.0,40.3,32.4,51.7,34.5,22.9,27.7,10.0,29.9,65.2,64.6,80.0,47.9,46.3,26.4,43.3,15.6,,,
188,doner kebab,Döner,1,2,2,5,12.11,4.91,24.31,192,1,350,42.385,17.185,85.085,672,0.534089869,0.289511266,0.176398865,0.464444444,55.5182963,59.89766312,0.138685185,0.298604466,16.55397034,95.2,98.5,45.3,32.9,54.3,57.5,26.9,94.3,95.0,100.0,95.3,97.6,98.2,100.0,99.7,58.4,45.5,33.7,32.8,37.2,33.8,31.7,26.7,47.9,56.0,75.7,53.4,70.1,57.1,63.3,41.9,47.1,25.0,18.0,8.5,,,
189,slice of bread topped with chocolate cream,Nutella-Brot,1,2,1,,8.17,14.5,53.83,382.8,1,90,7.353,13.05,48.447,344.52,0.458850729,0.324426831,0.21672244,0.362859259,53.67059259,40.06200027,0.048055556,0.132435798,16.20882607,96.6,97.2,44.4,24.7,23.2,42.3,19.0,97.4,98.7,66.7,100.0,100.0,98.7,66.7,100.0,54.5,38.2,64.0,40.0,32.4,20.2,41.7,20.8,31.1,18.3,37.3,20.2,39.7,40.8,51.3,44.6,25.9,16.9,27.7,13.8,,,
190,meatballs (patties),Frikadellen,1,2,2,5,14,22,11,299,3,280,39.2,61.6,30.8,837.2,0.471159787,0.31779698,0.211043234,0.409922222,65.75853333,44.47415924,0.123759259,0.301909125,16.18188286,35.7,57.1,34.7,26.4,30.5,33.7,21.1,41.7,28.2,50.0,43.2,57.4,54.2,50.0,64.3,49.0,38.3,21.0,16.9,29.0,29.0,21.5,19.8,25.7,33.1,18.5,31.6,43.8,37.9,29.5,16.6,37.0,22.6,23.0,3.2,,,
191,grilled bavarian sausage,Gegrillte Weißwürste,1,2,2,5,11,25,1,273,3,210,23.1,52.5,2.1,573.3,0.492030332,0.314690501,0.193279168,0.429533333,49.67196296,60.42626572,0.147333333,0.343007916,16.85243225,55.9,65.1,28.3,24.4,26.4,24.8,14.0,55.0,55.7,0.0,63.4,77.7,58.7,0.0,69.0,40.9,32.3,9.0,7.5,27.6,24.3,1.0,23.2,21.2,28.2,93.0,21.9,38.5,26.2,9.0,7.3,22.5,14.5,1.0,4.2,,,
192,apple,Apfel,1,1,1,1,0.31,0.4,11.4,52,1,150,0.465,0.6,17.1,78,0.52422085,0.311926544,0.163852605,0.315248148,36.42645926,42.54706192,0.047092593,0.149382615,13.43751049,98.9,100.0,70.2,38.4,24.9,73.8,49.4,99.1,97.8,100.0,100.0,100.0,100.0,100.0,100.0,75.1,64.6,80.2,68.0,47.8,32.2,47.0,32.1,14.4,23.8,49.0,26.9,76.2,72.7,68.0,75.4,58.9,43.3,45.6,48.9,,,
193,crisp bread,Knäckebrot,1,2,,,11.22,5.26,69,372,2,26,2.9172,1.3676,17.94,96.72,0.466316727,0.350540884,0.18314239,0.245222222,23.48451481,39.47156525,0.115055556,0.469188944,16.42248726,99.8,99.6,49.3,23.4,25.8,44.1,23.4,99.1,100.0,100.0,100.0,100.0,99.1,100.0,100.0,46.8,48.8,60.6,47.8,23.5,24.1,30.2,18.1,23.6,22.2,46.6,24.8,37.7,47.0,48.0,45.0,21.3,25.0,25.0,22.4,,,
194,kiwi,Kiwi,1,1,1,1,0.87,0.55,9.37,53,0.5,50,0.435,0.275,4.685,26.5,0.405290155,0.421898177,0.172811668,0.263218519,38.3859,43.16181183,0.038944444,0.147954804,14.52252293,100.0,100.0,68.1,40.5,32.9,68.4,47.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.8,68.0,68.0,70.0,45.3,45.6,14.0,29.2,28.2,38.8,3.0,32.0,66.7,71.3,38.0,68.4,47.8,53.3,8.0,41.7,,,
195,cucumber slice,Gurkenscheibe,1,1,,2,0.43,0.14,1.3,9,0.025,11,0.0473,0.0154,0.143,0.99,0.370124652,0.381055409,0.248819939,0.267948148,13.87591481,30.71461678,0.04912963,0.183354989,14.10575962,98.8,98.8,58.8,28.3,22.2,58.4,37.5,96.2,100.0,100.0,100.0,96.2,100.0,100.0,100.0,59.2,60.5,47.7,58.5,30.0,30.7,23.0,22.9,23.5,20.8,17.7,24.7,56.7,61.1,52.0,57.5,38.3,37.8,48.7,32.2,,,
196,salad plate,Salatteller,1,1,2,2,1.73,0.35,3.5,25,40,150,2.595,0.525,5.25,37.5,0.423070445,0.358175547,0.218754008,0.544974074,57.57645926,76.76511383,0.128,0.234873558,15.35697651,99.2,99.1,67.6,43.0,58.8,71.8,45.4,100.0,100.0,100.0,95.8,100.0,97.9,100.0,100.0,61.1,70.0,60.8,73.5,53.4,41.5,22.5,35.8,55.8,63.2,46.0,56.7,69.7,74.1,56.8,73.6,59.8,43.0,8.8,38.3,,,
197,tomatoes,Tomaten,1,1,3,2,0.9,0.2,2.47,16,6,780,7.02,1.56,19.266,124.8,0.625482805,0.233517746,0.140999448,0.282277778,46.10265556,46.23370743,0.062037037,0.219773011,15.00429153,100.0,100.0,71.0,37.4,24.5,67.9,44.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.2,70.4,71.0,75.9,35.5,40.3,25.0,35.1,22.4,24.1,23.0,33.5,67.6,65.6,63.0,79.9,50.1,43.3,24.0,36.3,,,
198,"paprika peppers (red, green, yellow)",Paprika bunt,1,1,2,2,1.22,0.37,4.87,29,3,500,6.1,1.85,24.35,145,0.462093093,0.383408345,0.154498562,0.323122222,39.6553037,53.70434189,0.077907407,0.241108169,14.90475559,100.0,100.0,60.4,33.5,31.0,64.2,38.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.0,63.7,95.0,59.0,26.9,35.6,59.5,32.6,30.5,31.8,50.5,26.6,60.0,65.4,95.5,61.1,39.5,37.4,61.0,34.8,,,
199,watermelon,Wassermelone,1,1,,1,0.26,0.09,3.64,17,0.2,300,0.78,0.27,10.92,51,0.572132874,0.279101755,0.148765371,0.21627037,24.93203333,50.38655853,0.054,0.249687463,14.76416016,99.9,100.0,65.2,37.9,24.2,70.4,44.5,100.0,99.9,100.0,100.0,100.0,100.0,100.0,100.0,67.1,71.2,59.4,55.6,32.1,46.9,42.0,25.5,22.1,24.8,23.8,25.4,72.9,77.4,49.8,65.6,41.8,58.8,30.0,28.7,,,
200,oranges,Orangen,1,1,,1,0.72,0.14,6.62,34,3.5,560,4.032,0.784,37.072,190.4,0.509758809,0.386117822,0.10412337,0.253911111,26.16931111,47.77888107,0.045314815,0.178467238,15.36082268,100.0,98.4,67.3,43.7,26.3,72.8,49.0,100.0,100.0,100.0,100.0,94.6,100.0,100.0,100.0,65.4,66.2,57.6,75.4,48.6,40.0,31.9,48.2,24.1,27.0,30.9,26.0,73.3,69.4,65.1,80.8,56.9,45.3,47.0,45.4,,,
201,salad plate,Salatteller,1,1,2,2,2.6,0.3,3.9,31,25,50,1.3,0.15,1.95,15.5,0.392968039,0.392543891,0.214488069,0.5464,62.62687778,67.90531921,0.172814815,0.316278944,16.38202095,97.1,99.0,67.1,37.4,42.3,68.1,45.8,90.0,100.0,100.0,99.3,96.4,100.0,100.0,100.0,51.5,69.3,52.0,80.2,27.7,41.2,31.5,41.3,39.7,46.4,34.0,38.7,53.7,75.6,48.5,72.1,34.7,52.7,36.0,46.4,,,
202,blueberries,Heidelbeeren,1,1,1,1,0.6,0.6,7.3,41,50,50,0.3,0.3,3.65,20.5,0.364009881,0.31808447,0.317905649,0.323662963,55.54679259,61.30504608,0.108388889,0.334881965,15.76157475,99.9,99.9,71.6,44.8,27.3,75.9,51.5,100.0,99.8,100.0,100.0,100.0,99.8,100.0,100.0,71.4,68.0,88.0,74.2,39.5,44.8,75.0,46.2,23.3,26.9,49.5,29.1,71.6,74.5,93.5,80.7,48.2,53.7,45.0,53.9,,,
203,wildberries mix,Waldbeerenmix,1,1,1,1,1,0.5,6,43,45,100,1,0.5,6,43,0.551761632,0.283826138,0.164412231,0.265207407,40.98351852,60.41677856,0.081555556,0.30751613,16.04541969,99.2,100.0,69.4,45.4,48.5,73.5,53.0,100.0,98.3,100.0,100.0,100.0,100.0,100.0,100.0,64.1,71.4,67.5,72.9,45.8,48.3,54.0,36.6,48.7,51.4,58.8,39.4,63.6,76.9,57.3,83.7,50.2,59.2,20.0,50.4,,,
204,apples,Äpfel,1,1,1,1,0.31,0.4,11.4,52,9,1350,4.185,5.4,153.9,702,0.524848423,0.346272279,0.128879298,0.3398,43.33011111,53.12251663,0.082333333,0.242299392,14.87367725,100.0,100.0,63.6,35.8,30.7,69.2,40.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.2,60.2,73.5,74.2,29.3,30.3,65.5,50.0,27.8,28.2,40.5,38.3,68.5,66.7,79.5,73.6,36.3,39.2,59.8,44.7,,,
205,crisp bread with cottage cheese,Knäckebrot mit Aufstrich,1,3,2,,12.36,0.78,23.9,154,1,28,3.4608,0.2184,6.692,43.12,0.412600392,0.342590676,0.244808932,0.240377778,24.79268889,54.73381042,0.092333333,0.384117593,16.48931694,68.1,71.7,47.6,26.6,46.2,46.4,22.2,65.8,54.3,100.0,82.5,64.9,58.7,100.0,93.7,38.0,45.0,66.5,59.8,29.4,17.9,25.0,37.9,48.3,47.6,34.0,45.5,42.4,36.1,67.5,62.1,22.0,16.8,20.5,32.7,,,
206,raspberries,Himbeeren,1,1,1,1,1.2,0.3,4.6,32,30,100,1.2,0.3,4.6,32,0.671885617,0.191888261,0.136226123,0.239559259,37.65687778,59.6387825,0.06212963,0.259349732,15.51046753,99.6,100.0,70.3,44.4,27.9,76.4,62.5,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,69.0,70.4,65.0,73.8,34.5,45.9,38.0,56.5,31.6,26.0,18.3,30.8,73.4,79.6,52.7,81.0,61.4,64.8,38.0,66.8,,,
207,redcurrants,Johannisbeeren,1,1,1,1,1.1,0.2,7.2,42,50,50,0.55,0.1,3.6,21,0.59717635,0.252552017,0.150271633,0.1915,28.81952963,57.24673462,0.053759259,0.280727202,15.76326466,95.3,94.6,64.0,37.5,34.4,64.0,41.0,88.6,96.8,100.0,100.0,89.4,94.9,100.0,100.0,57.1,64.4,64.0,74.1,29.9,45.8,4.0,43.5,31.9,35.1,18.0,43.7,56.0,68.3,47.7,72.9,39.2,44.7,2.3,51.6,,,
208,carrots,Karotten,1,1,2,2,0.8,0.16,3.94,21,4,520,4.16,0.832,20.488,109.2,0.538781994,0.33769055,0.123527457,0.207385185,22.15232222,51.22738647,0.078351852,0.377808337,13.85860348,100.0,100.0,61.8,28.8,23.2,64.1,37.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.0,65.5,71.8,60.3,27.6,22.0,44.0,36.3,13.3,23.7,47.8,27.2,66.0,61.5,80.8,59.3,41.8,34.7,36.8,37.5,,,
209,wildberries mix,Waldbeerenmix,1,1,1,1,1,0.5,6,43,40,150,1.5,0.75,9,64.5,0.529176195,0.250367044,0.22045676,0.420303704,73.37246667,58.38279343,0.111055556,0.264226926,16.29628563,100.0,96.8,74.2,52.2,43.9,83.1,60.9,100.0,100.0,100.0,100.0,87.5,100.0,100.0,100.0,68.6,73.2,81.0,80.9,55.9,53.3,50.5,46.2,45.8,40.8,35.5,50.1,81.5,83.1,94.5,82.4,72.7,59.4,51.0,52.7,,,
210,raspberries,Himbeeren,1,1,1,1,1.2,0.3,4.6,32,60,200,2.4,0.6,9.2,64,0.573590912,0.205831222,0.220577866,0.322092593,48.49904074,77.96178436,0.07687037,0.238659231,15.97743511,99.7,99.9,70.3,44.4,27.4,73.8,55.8,98.8,100.0,100.0,100.0,98.8,100.5,100.0,100.0,62.5,65.4,79.5,85.4,31.1,41.9,56.0,59.9,26.5,22.5,20.0,39.3,63.5,69.6,80.0,90.7,46.9,55.6,56.5,64.8,,,
211,strawberries,Erdbeeren,1,1,1,1,0.78,0.39,5.33,31,12,125,0.975,0.4875,6.6625,38.75,0.483978493,0.238372922,0.277648585,0.34092963,59.81372963,59.94669342,0.096462963,0.282940978,16.84942436,100.8,100.8,73.6,48.7,29.9,82.5,65.2,102.8,100.0,100.0,100.0,102.8,100.0,100.0,100.0,69.3,76.3,70.0,74.1,41.2,57.2,33.5,42.1,25.5,32.4,42.5,27.0,73.2,85.8,77.0,89.9,58.6,70.5,61.0,63.0,,,
212,veggie mix with dip,Gemüsemix mit Dip,1,1,2,,1.54,2.15,3.04,41.5,60,1000,15.4,21.5,30.4,415,0.447053422,0.347951908,0.204994671,0.373107407,39.12673704,61.42469025,0.131962963,0.353686259,16.83481407,100.0,99.6,61.6,36.4,46.6,63.8,37.4,100.0,100.0,100.0,100.0,98.5,100.0,100.0,100.0,53.9,61.8,71.0,67.9,33.8,38.1,74.0,27.9,34.8,48.5,70.0,50.8,56.8,63.5,75.0,69.8,34.8,36.5,78.5,34.0,,,
213,crisp bread with cottage cheese,Knäckebrot mit Aufstrich,1,3,2,,12.36,0.78,23.9,154,1,28,3.4608,0.2184,6.692,43.12,0.421409628,0.364950363,0.213640008,0.223266667,18.98721111,45.89578629,0.098462963,0.441010584,15.08251095,90.0,90.1,56.3,32.2,50.5,57.1,32.5,88.9,90.3,100.0,87.7,86.7,86.9,100.0,100.0,50.0,57.4,72.3,58.9,31.7,32.0,56.0,25.4,47.0,53.9,51.3,48.0,52.7,57.6,62.0,61.8,30.0,32.7,51.7,30.2,,,
214,wildberries mix,Waldbeerenmix,1,1,1,2,1,0.5,6,43,42,125,1.25,0.625,7.5,53.75,0.492836674,0.274571152,0.232592174,0.327959259,48.23701111,56.57112503,0.116962963,0.356638697,15.89673328,97.6,100.0,72.3,50.5,42.0,79.2,59.8,92.9,100.0,200.0,99.2,100.0,100.0,200.0,100.0,75.9,70.8,,70.4,56.1,56.1,,32.4,41.0,44.0,,39.4,78.9,78.4,,80.9,67.8,59.2,,50.7,,,
